統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
99Y06M,10011,臺南縣,10011030,白河鎮,10910,31540,
99Y06M,10011,臺南縣,10011040,柳營鄉,7761,22752,
99Y06M,10011,臺南縣,10011050,後壁鄉,8765,26043,
99Y06M,10011,臺南縣,10011060,東山鄉,8208,23246,
99Y06M,10011,臺南縣,10011070,麻豆鎮,14992,45934,
99Y06M,10011,臺南縣,10011080,下營鄉,9075,26195,
99Y06M,10011,臺南縣,10011090,六甲鄉,7580,23819,
99Y06M,10011,臺南縣,10011100,官田鄉,7574,22237,
99Y06M,10011,臺南縣,10011110,大內鄉,4074,10968,
99Y06M,10011,臺南縣,10011120,佳里鎮,19165,59396,
99Y06M,10011,臺南縣,10011130,學甲鎮,9515,27969,
99Y06M,10011,臺南縣,10011140,西港鄉,7784,25242,
99Y06M,10011,臺南縣,10011150,七股鄉,7975,24917,
99Y06M,10011,臺南縣,10011160,將軍鄉,7424,21612,
99Y06M,10011,臺南縣,10011170,北門鄉,4371,12520,
99Y06M,10011,臺南縣,10011180,新化鎮,13640,44186,
99Y06M,10011,臺南縣,10011190,善化鎮,14437,43427,
99Y06M,10011,臺南縣,10011200,新市鄉,10693,34786,
99Y06M,10011,臺南縣,10011210,安定鄉,9219,30117,
99Y06M,10011,臺南縣,10011220,山上鄉,2721,7927,
99Y06M,10011,臺南縣,10011230,玉井鄉,5076,15487,
99Y06M,10011,臺南縣,10011240,楠西鄉,3586,10696,
99Y06M,10011,臺南縣,10011250,南化鄉,2822,8927,
99Y06M,10011,臺南縣,10011260,左鎮鄉,1975,5549,
99Y06M,10011,臺南縣,10011270,仁德鄉,24502,68998,
99Y06M,10011,臺南縣,10011280,歸仁鄉,20395,65894,
99Y06M,10011,臺南縣,10011290,關廟鄉,10674,36129,
99Y06M,10011,臺南縣,10011300,龍崎鄉,1600,4395,
99Y06M,10011,臺南縣,10011310,永康市,74312,215698,
